Format,Matches,Innings,Runs,Balls,Highest,Average,SR,Not Out,Fours,Sixes,Ducks,50s,100s,200s,300s,400s,player_name,Country
T20,42.0,38.0,861.0,565.0,111.0,25.32,152.39,4.0,71.0,49.0,6.0,2.0,3.0,0.0,0.0,0.0,Sanju Samson,India
IPL,168.0,164.0,4485.0,3217.0,119.0,30.93,139.42,19.0,359.0,210.0,11.0,26.0,3.0,0.0,0.0,0.0,Sanju Samson,India
Test,40.0,56.0,1353.0,2973.0,117.0,29.41,45.51,10.0,129.0,14.0,6.0,6.0,3.0,0.0,0.0,0.0,Wriddhiman Saha,India
ODI,9.0,5.0,41.0,56.0,16.0,13.67,73.22,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wriddhiman Saha,India
T20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wriddhiman Saha,India
IPL,170.0,145.0,2934.0,2300.0,115.0,24.25,127.57,24.0,296.0,87.0,7.0,13.0,1.0,0.0,0.0,0.0,Wriddhiman Saha,India
Test,43.0,75.0,2948.0,4005.0,159.0,42.11,73.61,5.0,321.0,73.0,3.0,15.0,6.0,0.0,0.0,0.0,Rishabh Pant,India
ODI,31.0,27.0,871.0,820.0,125.0,33.5,106.22,1.0,91.0,26.0,3.0,5.0,1.0,0.0,0.0,0.0,Rishabh Pant,India
T20,76.0,66.0,1209.0,949.0,65.0,23.25,127.4,14.0,111.0,44.0,4.0,3.0,0.0,0.0,0.0,0.0,Rishabh Pant,India
IPL,112.0,111.0,3284.0,2211.0,128.0,34.94,148.54,17.0,296.0,154.0,5.0,18.0,1.0,0.0,0.0,0.0,Rishabh Pant,India
Test,64.0,89.0,750.0,1005.0,56.0,11.9,74.63,26.0,83.0,25.0,18.0,2.0,0.0,0.0,0.0,0.0,Mohammed Shami,India
ODI,108.0,49.0,225.0,273.0,25.0,7.76,82.42,20.0,17.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,Mohammed Shami,India
T20,25.0,5.0,7.0,10.0,7.0,3.5,70.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Mohammed Shami,India
IPL,111.0,25.0,74.0,79.0,21.0,5.69,93.68,12.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,Mohammed Shami,India
Test,45.0,69.0,332.0,741.0,34.0,7.06,44.81,22.0,35.0,11.0,25.0,0.0,0.0,0.0,0.0,0.0,Jasprit Bumrah,India
ODI,89.0,26.0,91.0,159.0,16.0,7.58,57.24,14.0,10.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,Jasprit Bumrah,India
T20,70.0,8.0,8.0,14.0,7.0,2.67,57.15,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Jasprit Bumrah,India
IPL,133.0,30.0,68.0,78.0,16.0,9.71,87.18,23.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,Jasprit Bumrah,India
Test,13.0,17.0,199.0,698.0,40.0,13.27,28.52,2.0,18.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,Kuldeep Yadav,India
ODI,113.0,42.0,207.0,407.0,19.0,9.86,50.86,21.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Kuldeep Yadav,India
T20,40.0,7.0,46.0,59.0,23.0,11.5,77.97,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Kuldeep Yadav,India
IPL,85.0,34.0,188.0,221.0,35.0,14.46,85.07,21.0,17.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,Kuldeep Yadav,India
Test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yuzvendra Chahal,India
ODI,72.0,14.0,77.0,141.0,18.0,8.56,54.61,5.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Yuzvendra Chahal,India
T20,80.0,6.0,6.0,13.0,3.0,3.0,46.16,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yuzvendra Chahal,India
IPL,161.0,20.0,37.0,86.0,8.0,5.29,43.03,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Yuzvendra Chahal,India
Test,2.0,3.0,8.0,27.0,5.0,4.0,29.63,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Navdeep Saini,India
ODI,8.0,5.0,107.0,137.0,45.0,53.5,78.11,3.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Navdeep Saini,India
T20,11.0,3.0,12.0,11.0,11.0,0.0,109.1,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Navdeep Saini,India
IPL,32.0,7.0,33.0,37.0,12.0,8.25,89.19,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Navdeep Saini,India
Test,57.0,68.0,460.0,883.0,31.0,11.22,52.1,27.0,42.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,Umesh Yadav,India
ODI,75.0,24.0,79.0,134.0,18.0,7.9,58.96,14.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,Umesh Yadav,India
T20,9.0,2.0,22.0,21.0,20.0,22.0,104.77,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Umesh Yadav,India
IPL,148.0,52.0,208.0,201.0,24.0,9.9,103.49,31.0,16.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,Umesh Yadav,India
Test,36.0,49.0,131.0,356.0,16.0,4.85,36.8,22.0,14.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,Mohammed Siraj,India
ODI,44.0,17.0,55.0,129.0,9.0,7.86,42.64,10.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Mohammed Siraj,India
T20,16.0,5.0,14.0,16.0,7.0,7.0,87.5,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Mohammed Siraj,India
IPL,94.0,25.0,109.0,119.0,14.0,10.9,91.6,15.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,Mohammed Siraj,India
Test,47.0,89.0,2586.0,5548.0,189.0,29.39,46.62,1.0,326.0,23.0,10.0,17.0,3.0,0.0,0.0,0.0,Martin Guptil,NewZeland
ODI,198.0,195.0,7346.0,8414.0,237.0,41.5,87.31,18.0,751.0,187.0,16.0,39.0,18.0,1.0,0.0,0.0,Martin Guptil,NewZeland
T20,122.0,118.0,3531.0,2602.0,105.0,31.81,135.71,7.0,310.0,173.0,3.0,20.0,2.0,0.0,0.0,0.0,Martin Guptil,NewZeland
IPL,13.0,13.0,270.0,196.0,50.0,22.5,137.76,1.0,24.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,Martin Guptil,NewZeland
Test,112.0,196.0,7684.0,12957.0,290.0,44.16,59.31,22.0,932.0,55.0,14.0,35.0,19.0,3.0,0.0,0.0,Ross Taylor,NewZeland
ODI,236.0,220.0,8602.0,10331.0,181.0,47.52,83.27,39.0,712.0,147.0,9.0,51.0,21.0,0.0,0.0,0.0,Ross Taylor,NewZeland
T20,102.0,94.0,1909.0,1560.0,63.0,25.45,122.38,19.0,122.0,71.0,6.0,7.0,0.0,0.0,0.0,0.0,Ross Taylor,NewZeland
IPL,55.0,54.0,1017.0,822.0,81.0,25.43,123.73,14.0,66.0,46.0,3.0,3.0,0.0,0.0,0.0,0.0,Ross Taylor,NewZeland
Test,105.0,186.0,9276.0,17913.0,251.0,54.89,51.79,17.0,1031.0,27.0,11.0,37.0,33.0,6.0,0.0,0.0,Kane Williamson,NewZeland
ODI,173.0,165.0,7236.0,8853.0,148.0,48.89,81.74,17.0,666.0,60.0,5.0,47.0,15.0,0.0,0.0,0.0,Kane Williamson,NewZeland
T20,93.0,90.0,2575.0,2094.0,95.0,33.01,122.98,12.0,245.0,58.0,4.0,18.0,0.0,0.0,0.0,0.0,Kane Williamson,NewZeland
IPL,79.0,77.0,2128.0,1694.0,89.0,35.47,125.62,17.0,185.0,64.0,2.0,18.0,0.0,0.0,0.0,0.0,Kane Williamson,NewZeland
Test,1.0,2.0,15.0,26.0,15.0,7.5,57.7,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Colin Munro,NewZeland
ODI,57.0,53.0,1271.0,1214.0,87.0,24.92,104.7,2.0,137.0,36.0,7.0,8.0,0.0,0.0,0.0,0.0,Colin Munro,NewZeland
T20,65.0,62.0,1724.0,1102.0,109.0,31.35,156.45,7.0,132.0,107.0,5.0,11.0,3.0,0.0,0.0,0.0,Colin Munro,NewZeland
IPL,13.0,12.0,177.0,141.0,40.0,14.75,125.54,0.0,19.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,Colin Munro,NewZeland
Test,56.0,87.0,2973.0,5922.0,200.0,37.16,50.21,7.0,322.0,9.0,6.0,12.0,9.0,1.0,0.0,0.0,Henry Nicholls,NewZeland
ODI,78.0,76.0,2116.0,2616.0,124.0,35.27,80.89,16.0,193.0,19.0,6.0,15.0,1.0,0.0,0.0,0.0,Henry Nicholls,NewZeland
T20,10.0,9.0,100.0,112.0,36.0,12.5,89.29,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Henry Nicholls,NewZeland
IPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Henry Nicholls,NewZeland
Test,12.0,22.0,709.0,1069.0,137.0,33.76,66.33,1.0,88.0,11.0,2.0,4.0,2.0,0.0,0.0,0.0,James Neesham,NewZeland
ODI,76.0,65.0,1495.0,1496.0,97.0,28.21,99.94,12.0,128.0,38.0,3.0,7.0,0.0,0.0,0.0,0.0,James Neesham,NewZeland
T20,83.0,66.0,955.0,627.0,48.0,21.22,152.32,21.0,73.0,51.0,6.0,0.0,0.0,0.0,0.0,0.0,James Neesham,NewZeland
IPL,14.0,10.0,92.0,93.0,22.0,10.22,98.93,1.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,James Neesham,NewZeland
Test,29.0,44.0,1432.0,1780.0,120.0,38.7,80.45,7.0,141.0,41.0,6.0,8.0,2.0,0.0,0.0,0.0,Colin de Grandhomme,NewZeland
ODI,45.0,35.0,742.0,699.0,74.0,26.5,106.16,7.0,58.0,29.0,2.0,4.0,0.0,0.0,0.0,0.0,Colin de Grandhomme,NewZeland
T20,41.0,39.0,503.0,365.0,59.0,15.72,137.81,7.0,27.0,30.0,6.0,3.0,0.0,0.0,0.0,0.0,Colin de Grandhomme,NewZeland
IPL,25.0,21.0,303.0,225.0,40.0,18.94,134.67,5.0,18.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,Colin de Grandhomme,NewZeland
Test,30.0,43.0,1066.0,2270.0,126.0,26.0,46.97,2.0,119.0,32.0,3.0,4.0,1.0,0.0,0.0,0.0,Mitchell Santner,NewZeland
ODI,118.0,86.0,1438.0,1584.0,67.0,26.15,90.79,31.0,105.0,41.0,3.0,3.0,0.0,0.0,0.0,0.0,Mitchell Santner,NewZeland
T20,109.0,74.0,725.0,603.0,77.0,16.86,120.24,31.0,55.0,24.0,5.0,1.0,0.0,0.0,0.0,0.0,Mitchell Santner,NewZeland
IPL,19.0,12.0,81.0,84.0,22.0,11.57,96.43,5.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Mitchell Santner,NewZeland
Test,88.0,158.0,5835.0,12283.0,264.0,38.39,47.51,6.0,665.0,19.0,13.0,31.0,13.0,2.0,0.0,0.0,Tom Latham,NewZeland
ODI,157.0,144.0,4361.0,5090.0,145.0,34.61,85.68,18.0,364.0,60.0,14.0,26.0,8.0,0.0,0.0,0.0,Tom Latham,NewZeland
T20,26.0,23.0,516.0,474.0,65.0,25.8,108.87,3.0,42.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,Tom Latham,NewZeland
IPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tom Latham,NewZeland
Test,40.0,69.0,2138.0,4013.0,138.0,34.48,53.28,7.0,259.0,16.0,6.0,11.0,5.0,0.0,0.0,0.0,Tom Blundell,NewZeland
ODI,12.0,12.0,266.0,307.0,68.0,29.56,86.65,3.0,28.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,Tom Blundell,NewZeland
T20,9.0,8.0,91.0,94.0,30.0,15.17,96.81,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tom Blundell,NewZeland
IPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tom Blundell,NewZeland
Test,78.0,94.0,759.0,1264.0,52.0,15.81,60.05,46.0,82.0,30.0,13.0,1.0,0.0,0.0,0.0,0.0,Trent Boult,NewZeland
ODI,114.0,52.0,216.0,279.0,21.0,9.0,77.42,28.0,20.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,Trent Boult,NewZeland
T20,61.0,15.0,58.0,64.0,16.0,8.29,90.63,8.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Trent Boult,NewZeland
IPL,104.0,28.0,84.0,80.0,17.0,9.33,105.0,19.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,Trent Boult,NewZeland
Test,30.0,42.0,649.0,834.0,72.0,18.03,77.82,6.0,87.0,20.0,9.0,4.0,0.0,0.0,0.0,0.0,Matt Henry,NewZeland
ODI,91.0,38.0,270.0,290.0,48.0,10.38,93.11,12.0,22.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,Matt Henry,NewZeland
T20,21.0,7.0,24.0,27.0,12.0,6.0,88.89,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matt Henry,NewZeland
IPL,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matt Henry,NewZeland
Test,107.0,155.0,2245.0,2715.0,77.0,15.48,82.69,10.0,215.0,98.0,21.0,7.0,0.0,0.0,0.0,0.0,Tim Southee,NewZeland
ODI,161.0,96.0,742.0,771.0,55.0,12.16,96.24,35.0,59.0,26.0,13.0,1.0,0.0,0.0,0.0,0.0,Tim Southee,NewZeland
T20,125.0,50.0,303.0,218.0,39.0,11.22,139.0,23.0,20.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,Tim Southee,NewZeland
IPL,54.0,20.0,120.0,107.0,36.0,9.23,112.15,7.0,8.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,Tim Southee,NewZeland
Test,21.0,31.0,561.0,1194.0,65.0,20.78,46.99,4.0,68.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,Ish Sodhi,NewZeland
ODI,55.0,27.0,217.0,291.0,35.0,9.86,74.58,5.0,8.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,Ish Sodhi,NewZeland
T20,123.0,39.0,197.0,194.0,19.0,7.3,101.55,12.0,12.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,Ish Sodhi,NewZeland
IPL,8.0,2.0,7.0,17.0,6.0,3.5,41.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ish Sodhi,NewZeland
Test,1.0,2.0,1.0,9.0,1.0,0.0,11.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lockie Ferguson,NewZeland
ODI,65.0,30.0,122.0,235.0,19.0,7.18,51.92,13.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,Lockie Ferguson,NewZeland
T20,43.0,15.0,29.0,36.0,14.0,3.63,80.56,7.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,Lockie Ferguson,NewZeland
IPL,45.0,10.0,68.0,46.0,24.0,22.67,147.83,7.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Lockie Ferguson,NewZeland
Test,45.0,82.0,2857.0,4803.0,152.0,35.71,59.49,2.0,412.0,14.0,6.0,13.0,7.0,0.0,0.0,0.0,Aiden Markram,South Africa
ODI,77.0,73.0,2371.0,2436.0,175.0,37.05,97.34,9.0,236.0,55.0,4.0,12.0,3.0,0.0,0.0,0.0,Aiden Markram,South Africa
T20,57.0,53.0,1367.0,950.0,70.0,30.38,143.9,8.0,123.0,56.0,2.0,9.0,0.0,0.0,0.0,0.0,Aiden Markram,South Africa
IPL,45.0,43.0,1010.0,780.0,68.0,29.71,129.49,9.0,74.0,36.0,2.0,5.0,0.0,0.0,0.0,0.0,Aiden Markram,South Africa
Test,4.0,4.0,19.0,39.0,9.0,9.5,48.72,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Andile Phehlukwayo,South Africa
ODI,85.0,57.0,884.0,1027.0,69.0,23.26,86.08,19.0,77.0,36.0,5.0,2.0,0.0,0.0,0.0,0.0,Andile Phehlukwayo,South Africa
T20,42.0,25.0,166.0,153.0,27.0,9.22,108.5,7.0,16.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,Andile Phehlukwayo,South Africa
IPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andile Phehlukwayo,South Africa
Test,1.0,2.0,9.0,18.0,5.0,9.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Beuran Hendricks,South Africa
ODI,10.0,4.0,24.0,45.0,18.0,8.0,53.34,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Beuran Hendricks,South Africa
T20,19.0,5.0,18.0,23.0,12.0,6.0,78.27,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Beuran Hendricks,South Africa
IPL,7.0,3.0,1.0,3.0,1.0,1.0,33.34,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Beuran Hendricks,South Africa
Test,4.0,7.0,173.0,362.0,69.0,24.71,47.8,0.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Chris Morris,South Africa
ODI,42.0,27.0,468.0,465.0,62.0,20.35,100.65,4.0,36.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,Chris Morris,South Africa
T20,23.0,13.0,133.0,102.0,55.0,14.78,130.4,4.0,12.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,Chris Morris,South Africa
IPL,81.0,51.0,618.0,398.0,82.0,22.07,155.28,23.0,41.0,35.0,9.0,2.0,0.0,0.0,0.0,0.0,Chris Morris,South Africa
Test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,David Miller,South Africa
ODI,178.0,154.0,4611.0,4447.0,139.0,42.3,103.69,45.0,342.0,144.0,9.0,24.0,7.0,0.0,0.0,0.0,David Miller,South Africa
T20,130.0,114.0,2593.0,1842.0,106.0,33.24,140.78,36.0,168.0,130.0,3.0,8.0,2.0,0.0,0.0,0.0,David Miller,South Africa
IPL,131.0,125.0,2951.0,2119.0,101.0,36.43,139.27,44.0,208.0,136.0,4.0,13.0,1.0,0.0,0.0,0.0,David Miller,South Africa
Test,3.0,6.0,83.0,163.0,37.0,13.83,50.93,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Dwaine Pretorius,South Africa
ODI,27.0,13.0,192.0,224.0,50.0,16.0,85.72,1.0,14.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,Dwaine Pretorius,South Africa
T20,30.0,17.0,261.0,159.0,77.0,21.75,164.16,5.0,22.0,15.0,2.0,1.0,0.0,0.0,0.0,0.0,Dwaine Pretorius,South Africa
IPL,7.0,5.0,44.0,28.0,22.0,11.0,157.15,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Dwaine Pretorius,South Africa
Test,69.0,118.0,4163.0,8986.0,199.0,40.03,46.33,14.0,516.0,21.0,9.0,21.0,10.0,0.0,0.0,0.0,Faf du Plessis ,South Africa
ODI,143.0,136.0,5507.0,6218.0,185.0,46.67,88.57,18.0,495.0,66.0,3.0,35.0,12.0,0.0,0.0,0.0,Faf du Plessis ,South Africa
T20,50.0,50.0,1528.0,1137.0,119.0,35.53,134.39,7.0,140.0,50.0,0.0,10.0,1.0,0.0,0.0,0.0,Faf du Plessis ,South Africa
IPL,146.0,139.0,4600.0,3370.0,96.0,35.94,136.5,11.0,424.0,168.0,7.0,37.0,0.0,0.0,0.0,0.0,Faf du Plessis ,South Africa
Test,20.0,23.0,130.0,235.0,29.0,9.29,55.32,9.0,18.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,Imran Tahir,South Africa
ODI,107.0,36.0,157.0,225.0,29.0,7.85,69.78,16.0,21.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,Imran Tahir,South Africa
T20,38.0,4.0,19.0,18.0,9.0,19.0,105.56,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Imran Tahir,South Africa
IPL,59.0,9.0,33.0,37.0,13.0,8.25,89.19,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Imran Tahir,South Africa
Test,46.0,74.0,2103.0,4544.0,166.0,32.86,46.29,10.0,251.0,13.0,9.0,8.0,6.0,0.0,0.0,0.0,Jean-Paul Duminy,South Africa
ODI,199.0,179.0,5117.0,6050.0,150.0,36.81,84.58,40.0,347.0,75.0,7.0,27.0,4.0,0.0,0.0,0.0,Jean-Paul Duminy,South Africa
T20,81.0,75.0,1934.0,1532.0,96.0,38.68,126.25,25.0,138.0,71.0,6.0,11.0,0.0,0.0,0.0,0.0,Jean-Paul Duminy,South Africa
IPL,83.0,77.0,2029.0,1636.0,78.0,39.78,124.03,26.0,126.0,79.0,1.0,14.0,0.0,0.0,0.0,0.0,Jean-Paul Duminy,South Africa
Test,70.0,106.0,1030.0,2053.0,47.0,11.98,50.18,20.0,135.0,16.0,20.0,0.0,0.0,0.0,0.0,0.0,Kagiso Rabada,South Africa
ODI,106.0,45.0,401.0,507.0,31.0,14.85,79.1,18.0,30.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,Kagiso Rabada,South Africa
T20,65.0,24.0,156.0,141.0,22.0,17.33,110.64,15.0,14.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,Kagiso Rabada,South Africa
IPL,81.0,31.0,206.0,193.0,44.0,12.12,106.74,14.0,16.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,Kagiso Rabada,South Africa
Test,19.0,30.0,97.0,229.0,19.0,4.85,42.36,10.0,14.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,Lungi Ngidi,South Africa
ODI,67.0,27.0,124.0,236.0,20.0,11.27,52.55,16.0,8.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,Lungi Ngidi,South Africa
T20,43.0,13.0,41.0,52.0,13.0,8.2,78.85,8.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Lungi Ngidi,South Africa
IPL,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lungi Ngidi,South Africa
Test,54.0,91.0,3300.0,4652.0,141.0,38.82,70.94,6.0,411.0,33.0,7.0,22.0,6.0,0.0,0.0,0.0,Quinton de Kock,South Africa
ODI,155.0,155.0,6770.0,7005.0,178.0,45.74,96.65,7.0,771.0,118.0,4.0,30.0,21.0,0.0,0.0,0.0,Quinton de Kock,South Africa
T20,92.0,91.0,2584.0,1868.0,100.0,31.51,138.33,9.0,264.0,103.0,7.0,16.0,1.0,0.0,0.0,0.0,Quinton de Kock,South Africa
IPL,108.0,108.0,3161.0,2357.0,140.0,30.99,134.12,6.0,317.0,123.0,4.0,23.0,2.0,0.0,0.0,0.0,Quinton de Kock,South Africa
Test,18.0,32.0,905.0,2221.0,98.0,30.17,40.75,2.0,101.0,4.0,3.0,6.0,0.0,0.0,0.0,0.0,Rassie van der Dussen,South Africa
ODI,71.0,66.0,2657.0,3053.0,134.0,50.13,87.03,13.0,206.0,50.0,3.0,17.0,6.0,0.0,0.0,0.0,Rassie van der Dussen,South Africa
T20,50.0,46.0,1257.0,971.0,94.0,33.97,129.46,9.0,73.0,60.0,2.0,9.0,0.0,0.0,0.0,0.0,Rassie van der Dussen,South Africa
IPL,3.0,3.0,22.0,24.0,12.0,11.0,91.67,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rassie van der Dussen,South Africa
Test,2.0,4.0,20.0,48.0,18.0,20.0,41.67,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tabraiz Shamsi,South Africa
ODI,55.0,15.0,39.0,69.0,11.0,9.75,56.53,11.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Tabraiz Shamsi,South Africa
T20,70.0,14.0,10.0,27.0,4.0,2.0,37.04,9.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,Tabraiz Shamsi,South Africa
IPL,5.0,1.0,2.0,4.0,2.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tabraiz Shamsi,South Africa
Test,28.0,50.0,132.0,361.0,17.0,4.0,36.57,17.0,19.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,Nuwan Pradeep,Sri Lanka
ODI,49.0,25.0,35.0,83.0,7.0,4.38,42.17,17.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,Nuwan Pradeep,Sri Lanka
T20,16.0,6.0,10.0,15.0,8.0,10.0,66.67,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Nuwan Pradeep,Sri Lanka
IPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nuwan Pradeep,Sri Lanka
Test,44.0,85.0,2088.0,5294.0,155.0,26.43,39.45,6.0,207.0,3.0,11.0,10.0,3.0,0.0,0.0,0.0,Lahiru Thirimanne,Sri Lanka
ODI,127.0,105.0,3164.0,4389.0,139.0,34.77,72.09,14.0,244.0,25.0,7.0,21.0,4.0,0.0,0.0,0.0,Lahiru Thirimanne,Sri Lanka
T20,26.0,20.0,291.0,267.0,44.0,16.17,108.99,2.0,27.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,Lahiru Thirimanne,Sri Lanka
IPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lahiru Thirimanne,Sri Lanka
Test,100.0,191.0,7222.0,14024.0,244.0,39.25,51.5,7.0,764.0,12.0,13.0,39.0,16.0,1.0,0.0,0.0,Dimuth Karunaratne,Sri Lanka
ODI,50.0,46.0,1316.0,1655.0,103.0,31.33,79.52,4.0,131.0,1.0,4.0,11.0,1.0,0.0,0.0,0.0,Dimuth Karunaratne,Sri Lanka
T20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dimuth Karunaratne,Sri Lanka
IPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dimuth Karunaratne,Sri Lanka
Test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Avishka Fernando,Sri Lanka
ODI,51.0,50.0,1589.0,1787.0,127.0,31.78,88.92,0.0,165.0,31.0,5.0,9.0,4.0,0.0,0.0,0.0,Avishka Fernando,Sri Lanka
T20,37.0,35.0,363.0,386.0,37.0,11.0,94.05,2.0,28.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,Avishka Fernando,Sri Lanka
