Format,Matches,Innings,Balls,Runs,Maidens,Wickets,Avg,Eco,SR,BBI,BBM,4w,5w,10w,player_name,Country
T20,60,41,576,838,1,33,25.39,8.73,17.45,3/17,3/17,0,0,0,Liam Livingstone,England
IPL,40,23,270,407,0,11,37.0,9.04,24.55,3/27,3/27,0,0,0,Liam Livingstone,England
Test,57,109,10133,5112,380,181,28.24,3.03,55.98,6/17,11/102,5,5,1,Chris Woakes,England
ODI,122,118,5737,5193,53,173,30.02,5.43,33.16,6/45,6/45,11,3,0,Chris Woakes,England
T20,33,33,611,822,1,31,26.52,8.07,19.71,3/4,3/4,0,0,0,Chris Woakes,England
IPL,21,21,440,658,0,30,21.93,8.97,14.67,3/6,3/6,0,0,0,Chris Woakes,England
Test,2,3,396,200,14,2,100.0,3.03,198.0,1/65,1/82,0,0,0,Tom Curran,England
ODI,28,28,1308,1290,8,34,37.94,5.92,38.47,5/35,5/35,2,1,0,Tom Curran,England
T20,30,29,588,907,1,29,31.28,9.26,20.28,4/36,4/36,1,0,0,Tom Curran,England
IPL,13,13,238,430,0,13,33.08,10.84,18.31,3/29,3/29,0,0,0,Tom Curran,England
Test,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Lewis Gregory,England
ODI,3,3,114,97,1,4,24.25,5.11,28.5,3/44,3/44,0,0,0,Lewis Gregory,England
T20,9,5,78,117,0,2,58.5,9.0,39.0,1/10,1/10,0,0,0,Lewis Gregory,England
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Lewis Gregory,England
Test,24,42,3091,1669,96,47,35.51,3.24,65.77,4/58,5/92,2,0,0,Sam Curran,England
ODI,35,35,1325,1376,10,33,41.7,6.23,40.15,5/48,5/48,1,1,0,Sam Curran,England
T20,58,57,1043,1462,2,54,27.07,8.41,19.31,5/10,5/10,0,1,0,Sam Curran,England
IPL,60,59,1187,1913,0,58,32.98,9.67,20.47,4/11,4/11,1,0,0,Sam Curran,England
Test,100,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Jonny Bairstow,England
ODI,107,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Jonny Bairstow,England
T20,80,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Jonny Bairstow,England
IPL,50,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Jonny Bairstow,England
Test,57,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Jos Buttler,England
ODI,187,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Jos Buttler,England
T20,134,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Jos Buttler,England
IPL,108,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Jos Buttler,England
Test,3,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Sam Billings,England
ODI,28,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Sam Billings,England
T20,37,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Sam Billings,England
IPL,30,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Sam Billings,England
Test,19,34,3816,2390,50,60,39.83,3.76,63.6,5/49,7/178,5,2,0,Adil Rashid,England
ODI,149,143,7517,7058,14,215,32.83,5.63,34.96,5/27,5/27,9,2,0,Adil Rashid,England
T20,124,119,2600,3190,5,131,24.35,7.36,19.85,4/2,4/2,3,0,0,Adil Rashid,England
IPL,3,3,60,91,0,2,45.5,9.1,30.0,2/23,2/23,0,0,0,Adil Rashid,England
Test,13,24,2609,1304,95,42,31.05,3.0,62.12,6/45,8/85,0,3,0,Jofra Archer,England
ODI,31,31,1631,1421,18,54,26.31,5.23,30.2,6/40,6/40,0,1,0,Jofra Archer,England
T20,34,34,754,1002,2,41,24.44,7.97,18.39,4/33,4/33,1,0,0,Jofra Archer,England
IPL,41,41,969,1247,2,48,25.98,7.72,20.19,3/15,3/15,0,0,0,Jofra Archer,England
Test,5,9,610,400,17,17,23.53,3.93,35.88,3/29,4/68,0,0,0,Olly Stone,England
ODI,10,9,394,399,2,9,44.33,6.08,43.78,4/85,4/85,1,0,0,Olly Stone,England
T20,1,1,24,36,0,0,0.0,9.0,0.0,0/36,0/36,0,0,0,Olly Stone,England
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Olly Stone,England
Test,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Reece Topley,England
ODI,30,30,1392,1257,17,47,26.74,5.42,29.62,6/24,6/24,2,1,0,Reece Topley,England
T20,35,35,706,978,0,33,29.64,8.31,21.39,3/22,3/22,0,0,0,Reece Topley,England
IPL,5,5,102,182,0,5,36.4,10.71,20.4,2/27,2/27,0,0,0,Reece Topley,England
Test,8,16,1530,752,74,21,35.81,2.95,72.86,4/18,7/50,1,0,0,Chris Jordan,England
ODI,35,35,1660,1660,5,46,36.09,6.0,36.09,5/29,5/29,0,1,0,Chris Jordan,England
T20,95,94,1953,2846,2,108,26.35,8.74,18.08,4/6,4/6,4,0,0,Chris Jordan,England
IPL,34,34,668,1070,1,30,35.67,9.61,22.27,4/11,4/11,1,0,0,Chris Jordan,England
Test,123,11,175,84,2,0,0.0,2.88,0.0,0/0,0/0,0,0,0,Virat Kohli,India
ODI,302,50,662,680,1,5,136.0,6.16,132.4,1/13,1/13,0,0,0,Virat Kohli,India
T20,125,13,152,204,0,4,51.0,8.05,38.0,1/13,1/13,0,0,0,Virat Kohli,India
IPL,253,26,251,368,0,4,92.0,8.8,62.75,2/25,2/25,0,0,0,Virat Kohli,India
Test,67,16,383,224,5,2,112.0,3.51,191.5,1/26,1/35,0,0,0,Rohit Sharma,India
ODI,273,40,610,533,2,9,59.22,5.24,67.78,2/27,2/27,0,0,0,Rohit Sharma,India
T20,159,9,68,113,0,1,113.0,9.97,68.0,1/22,1/22,0,0,0,Rohit Sharma,India
IPL,258,32,339,453,0,15,30.2,8.02,22.6,4/6,4/6,1,0,0,Rohit Sharma,India
Test,34,5,54,18,2,0,0.0,2.0,0.0,0/0,0/0,0,0,0,Shikhar Dhawan,India
ODI,167,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Shikhar Dhawan,India
T20,68,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Shikhar Dhawan,India
IPL,222,6,48,66,0,4,16.5,8.25,12.0,1/7,1/7,0,0,0,Shikhar Dhawan,India
Test,32,1,7,1,0,0,0.0,0.86,0.0,0/1,0/1,0,0,0,Shubman Gill,India
ODI,55,2,18,25,0,0,0.0,8.33,0.0,0/11,0/11,0,0,0,Shubman Gill,India
T20,21,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Shubman Gill,India
IPL,104,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Shubman Gill,India
Test,14,1,6,2,0,0,0.0,2.0,0.0,0/2,0/2,0,0,0,Shreyas Iyer,India
ODI,70,5,37,39,0,0,0.0,6.32,0.0,0/1,0/1,0,0,0,Shreyas Iyer,India
T20,51,1,2,2,0,0,0.0,0.0,0.0,0/2,0/2,0,0,0,Shreyas Iyer,India
IPL,116,1,6,7,0,0,0.0,7.0,0.0,0/7,0/7,0,0,0,Shreyas Iyer,India
Test,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Manish Pandey,India
ODI,29,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Manish Pandey,India
T20,39,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Manish Pandey,India
IPL,171,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Manish Pandey,India
Test,21,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Mayank Agarwal,India
ODI,5,1,6,10,0,0,0.0,10.0,0.0,0/10,0/10,0,0,0,Mayank Agarwal,India
T20,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Mayank Agarwal,India
IPL,127,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Mayank Agarwal,India
Test,5,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Prithvi Shaw,India
ODI,6,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Prithvi Shaw,India
T20,1,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Prithvi Shaw,India
IPL,79,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Prithvi Shaw,India
Test,103,2,12,3,0,0,0.0,1.5,0.0,0/1,0/1,0,0,0,Cheteshwar Pujara,India
ODI,5,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Cheteshwar Pujara,India
T20,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Cheteshwar Pujara,India
IPL,30,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Cheteshwar Pujara,India
Test,85,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Ajinkya Rahane,India
ODI,90,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Ajinkya Rahane,India
T20,20,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Ajinkya Rahane,India
IPL,186,1,6,5,0,1,5.0,5.0,6.0,1/5,1/5,0,0,0,Ajinkya Rahane,India
Test,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Ruturaj Gaikwad,India
ODI,6,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Ruturaj Gaikwad,India
T20,23,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Ruturaj Gaikwad,India
IPL,67,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Ruturaj Gaikwad,India
Test,11,19,937,528,19,17,31.06,3.38,55.12,5/28,6/50,0,1,0,Hardik Pandya,India
ODI,94,88,3460,3231,16,91,35.51,5.6,38.02,4/24,4/24,1,0,0,Hardik Pandya,India
T20,114,102,1817,2485,4,94,26.44,8.21,19.33,4/16,4/16,3,0,0,Hardik Pandya,India
IPL,137,93,1418,2150,0,64,33.59,9.1,22.16,3/17,3/17,0,0,0,Hardik Pandya,India
Test,16,10,345,180,10,5,36.0,3.13,69.0,3/37,3/38,0,0,0,Hanuma Vihari,India
ODI,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Hanuma Vihari,India
T20,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Hanuma Vihari,India
IPL,24,6,42,47,0,1,47.0,6.71,42.0,1/5,1/5,0,0,0,Hanuma Vihari,India
Test,80,150,18473,7798,729,323,24.14,2.53,57.19,7/42,10/110,13,15,3,Ravindra Jadeja,India
ODI,204,196,10116,8180,59,231,35.41,4.85,43.79,5/33,5/33,7,2,0,Ravindra Jadeja,India
T20,74,71,1356,1612,4,54,29.85,7.13,25.11,3/15,3/15,0,0,0,Ravindra Jadeja,India
IPL,241,212,3847,4885,2,160,30.53,7.62,24.04,5/16,5/16,3,1,0,Ravindra Jadeja,India
Test,11,19,1449,880,36,31,28.39,3.64,46.74,7/61,8/108,1,1,0,Shardul Thakur,India
ODI,47,46,1940,2014,10,65,30.98,6.23,29.85,4/37,4/37,3,0,0,Shardul Thakur,India
T20,25,24,506,772,0,33,23.39,9.15,15.33,4/27,4/27,1,0,0,Shardul Thakur,India
IPL,96,93,1878,2888,3,96,30.08,9.23,19.56,4/36,4/36,1,0,0,Shardul Thakur,India
Test,106,200,27246,12891,907,537,24.01,2.84,50.74,7/59,13/140,25,37,8,Ravichandran Ashwin,India
ODI,116,114,6303,5180,37,156,33.21,4.93,40.4,4/25,4/25,1,0,0,Ravichandran Ashwin,India
T20,65,65,1452,1672,3,72,23.22,6.91,20.17,4/8,4/8,2,0,0,Ravichandran Ashwin,India
IPL,212,209,4548,5400,4,181,29.83,7.12,25.13,4/34,4/34,1,0,0,Ravichandran Ashwin,India
Test,58,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,KL Rahul,India
ODI,85,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,KL Rahul,India
T20,72,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,KL Rahul,India
IPL,132,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,KL Rahul,India
Test,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Sanju Samson,India
ODI,16,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Sanju Samson,India
T20,42,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Sanju Samson,India
IPL,168,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Sanju Samson,India
Test,40,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Wriddhiman Saha,India
ODI,9,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Wriddhiman Saha,India
T20,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Wriddhiman Saha,India
IPL,170,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Wriddhiman Saha,India
Test,43,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Rishabh Pant,India
ODI,31,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Rishabh Pant,India
T20,76,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Rishabh Pant,India
IPL,112,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Rishabh Pant,India
Test,64,122,11515,6346,364,229,27.71,3.31,50.28,6/56,9/118,12,6,0,Mohammed Shami,India
ODI,108,107,5326,4955,52,206,24.05,5.58,25.85,7/57,7/57,10,6,0,Mohammed Shami,India
T20,25,25,510,761,1,27,28.19,8.95,18.89,3/15,3/15,0,0,0,Mohammed Shami,India
IPL,111,111,2444,3444,3,128,26.91,8.45,19.09,4/11,4/11,2,0,0,Mohammed Shami,India
Test,45,86,8630,3977,344,205,19.4,2.77,42.1,6/27,9/86,7,13,0,Jasprit Bumrah,India
ODI,89,88,4580,3509,57,149,23.55,4.6,30.74,6/19,6/19,6,2,0,Jasprit Bumrah,India
T20,70,69,1509,1579,12,89,17.74,6.28,16.96,3/7,3/7,0,0,0,Jasprit Bumrah,India
IPL,133,133,3053,3716,7,165,22.52,7.3,18.5,5/10,5/10,2,2,0,Jasprit Bumrah,India
Test,13,24,2093,1241,46,56,22.16,3.56,37.38,5/40,8/113,3,4,0,Kuldeep Yadav,India
ODI,113,110,5754,4786,30,181,26.44,4.99,31.79,6/25,6/25,7,2,0,Kuldeep Yadav,India
T20,40,39,860,971,2,69,14.07,6.77,12.46,5/17,5/17,1,2,0,Kuldeep Yadav,India
IPL,85,83,1770,2408,1,89,27.06,8.16,19.89,4/14,4/14,4,0,0,Kuldeep Yadav,India
Test,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Yuzvendra Chahal,India
ODI,72,69,3739,3283,14,121,27.13,5.27,30.9,6/42,6/42,5,2,0,Yuzvendra Chahal,India
T20,80,79,1764,2409,2,96,25.09,8.19,18.38,6/25,6/25,2,1,0,Yuzvendra Chahal,India
IPL,161,160,3539,4636,4,205,22.61,7.86,17.26,5/40,5/40,6,1,0,Yuzvendra Chahal,India
Test,2,4,251,172,5,4,43.0,4.11,62.75,2/54,4/119,0,0,0,Navdeep Saini,India
ODI,8,8,420,481,0,6,80.17,6.87,70.0,2/58,2/58,0,0,0,Navdeep Saini,India
T20,11,9,197,235,1,13,18.08,7.16,15.15,3/17,3/17,0,0,0,Navdeep Saini,India
IPL,32,32,658,974,1,23,42.35,8.88,28.61,3/40,3/40,0,0,0,Navdeep Saini,India
Test,57,112,8979,5263,245,170,30.96,3.52,52.82,6/88,10/133,6,3,1,Umesh Yadav,India
ODI,75,73,3558,3565,23,106,33.63,6.01,33.57,4/31,4/31,4,0,0,Umesh Yadav,India
T20,9,9,180,280,0,12,23.33,9.33,15.0,2/19,2/19,0,0,0,Umesh Yadav,India
IPL,148,147,3050,4317,5,144,29.98,8.49,21.18,4/23,4/23,3,0,0,Umesh Yadav,India
Test,36,67,5306,3074,164,100,30.74,3.48,53.06,6/15,8/126,6,3,0,Mohammed Siraj,India
ODI,44,43,1975,1708,32,71,24.06,5.19,27.82,6/21,6/21,2,1,0,Mohammed Siraj,India
T20,16,16,348,452,2,14,32.29,7.79,24.86,4/17,4/17,1,0,0,Mohammed Siraj,India
IPL,94,94,1982,2876,4,93,30.92,8.71,21.31,4/21,4/21,2,0,0,Mohammed Siraj,India
Test,47,18,428,298,9,8,37.25,4.18,53.5,3/11,3/11,0,0,0,Martin Guptil,NewZeland
ODI,198,12,109,98,0,4,24.5,5.39,27.25,2/6,2/6,0,0,0,Martin Guptil,NewZeland
T20,122,1,6,11,0,0,0.0,11.0,0.0,0/11,0/11,0,0,0,Martin Guptil,NewZeland
IPL,13,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Martin Guptil,NewZeland
Test,112,8,99,48,3,3,16.0,2.91,33.0,2/4,2/4,0,0,0,Ross Taylor,NewZeland
ODI,236,6,42,35,0,0,0.0,5.0,0.0,0/0,0/0,0,0,0,Ross Taylor,NewZeland
T20,102,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Ross Taylor,NewZeland
IPL,55,2,12,24,0,0,0.0,12.0,0.0,0/11,0/11,0,0,0,Ross Taylor,NewZeland
Test,105,67,2151,1207,48,30,40.23,3.37,71.7,4/44,4/44,1,0,0,Kane Williamson,NewZeland
ODI,173,65,1467,1310,2,37,35.41,5.36,39.65,4/22,4/22,1,0,0,Kane Williamson,NewZeland
T20,93,12,118,164,0,6,27.33,8.34,19.67,2/16,2/16,0,0,0,Kane Williamson,NewZeland
IPL,79,2,18,31,0,0,0.0,10.33,0.0,0/7,0/7,0,0,0,Kane Williamson,NewZeland
Test,1,1,108,40,4,2,20.0,2.22,54.0,2/40,2/40,0,0,0,Colin Munro,NewZeland
ODI,57,25,552,481,1,7,68.71,5.23,78.86,2/10,2/10,0,0,0,Colin Munro,NewZeland
T20,65,12,118,186,0,4,46.5,9.46,29.5,1/12,1/12,0,0,0,Colin Munro,NewZeland
IPL,13,2,12,15,0,0,0.0,7.5,0.0,0/7,0/7,0,0,0,Colin Munro,NewZeland
Test,56,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Henry Nicholls,NewZeland
ODI,78,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Henry Nicholls,NewZeland
T20,10,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Henry Nicholls,NewZeland
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Henry Nicholls,NewZeland
Test,12,21,1076,675,18,14,48.21,3.76,76.86,3/42,3/42,0,0,0,James Neesham,NewZeland
ODI,76,72,2448,2556,6,71,36.0,6.26,34.48,5/27,5/27,2,2,0,James Neesham,NewZeland
T20,83,57,771,1149,0,47,24.45,8.94,16.4,5/22,5/22,0,1,0,James Neesham,NewZeland
IPL,14,13,216,334,0,8,41.75,9.28,27.0,3/12,3/12,0,0,0,James Neesham,NewZeland
Test,29,53,4054,1615,163,49,32.96,2.39,82.73,6/41,7/64,1,1,0,Colin de Grandhomme,NewZeland
ODI,45,45,1548,1230,10,30,41.0,4.77,51.6,3/26,3/26,0,0,0,Colin de Grandhomme,NewZeland
T20,41,21,321,461,0,12,38.42,8.62,26.75,2/22,2/22,0,0,0,Colin de Grandhomme,NewZeland
IPL,25,19,216,319,0,6,53.17,8.86,36.0,3/4,3/4,0,0,0,Colin de Grandhomme,NewZeland
Test,30,51,5346,2526,178,74,34.14,2.84,72.24,7/53,13/157,1,2,1,Mitchell Santner,NewZeland
ODI,118,112,5607,4505,24,126,35.75,4.82,44.5,5/50,5/50,0,2,0,Mitchell Santner,NewZeland
T20,109,107,2268,2661,2,120,22.18,7.04,18.9,4/11,4/11,3,0,0,Mitchell Santner,NewZeland
IPL,19,19,379,446,0,15,29.73,7.06,25.27,2/13,2/13,0,0,0,Mitchell Santner,NewZeland
Test,88,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Tom Latham,NewZeland
ODI,157,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Tom Latham,NewZeland
T20,26,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Tom Latham,NewZeland
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Tom Latham,NewZeland
Test,40,1,18,13,0,0,0.0,4.33,0.0,0/13,0/13,0,0,0,Tom Blundell,NewZeland
ODI,12,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Tom Blundell,NewZeland
T20,9,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Tom Blundell,NewZeland
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Tom Blundell,NewZeland
Test,78,149,17417,8717,655,317,27.5,3.0,54.94,6/30,10/80,18,10,1,Trent Boult,NewZeland
ODI,114,113,6180,5146,76,211,24.39,5.0,29.29,7/34,7/34,10,6,0,Trent Boult,NewZeland
T20,61,61,1389,1779,4,83,21.43,7.68,16.73,4/13,4/13,2,0,0,Trent Boult,NewZeland
IPL,104,104,2355,3257,11,121,26.92,8.3,19.46,4/18,4/18,1,0,0,Trent Boult,NewZeland
Test,30,59,6750,3581,231,120,29.84,3.18,56.25,7/23,9/55,6,4,0,Matt Henry,NewZeland
ODI,91,89,4734,4094,57,165,24.81,5.19,28.69,5/30,5/30,12,3,0,Matt Henry,NewZeland
T20,21,20,462,639,1,27,23.67,8.3,17.11,3/32,3/32,0,0,0,Matt Henry,NewZeland
IPL,6,6,102,181,0,2,90.5,10.65,51.0,1/28,1/28,0,0,0,Matt Henry,NewZeland
Test,107,203,23490,11832,888,391,30.26,3.02,60.08,7/64,10/108,19,15,1,Tim Southee,NewZeland
ODI,161,159,8075,7447,80,221,33.7,5.53,36.54,7/33,7/33,5,3,0,Tim Southee,NewZeland
T20,125,123,2753,3671,7,164,22.38,8.0,16.79,5/18,5/18,2,2,0,Tim Southee,NewZeland
IPL,54,54,1206,1742,2,47,37.06,8.67,25.66,3/20,3/20,0,0,0,Tim Southee,NewZeland
Test,21,38,4043,2500,91,58,43.1,3.71,69.71,6/86,8/173,2,1,0,Ish Sodhi,NewZeland
ODI,55,51,2587,2384,12,64,37.25,5.53,40.42,6/39,6/39,1,1,0,Ish Sodhi,NewZeland
T20,124,119,2501,3333,0,144,23.15,8.0,17.37,4/28,4/28,3,0,0,Ish Sodhi,NewZeland
IPL,8,8,181,202,1,9,22.44,6.7,20.11,3/26,3/26,0,0,0,Ish Sodhi,NewZeland
Test,1,1,66,47,1,0,0.0,4.27,0.0,0/47,0/47,0,0,0,Lockie Ferguson,NewZeland
ODI,65,64,3300,3124,13,99,31.56,5.68,33.33,5/45,5/45,2,1,0,Lockie Ferguson,NewZeland
T20,43,43,919,1087,5,64,16.98,7.1,14.36,5/21,5/21,2,1,0,Lockie Ferguson,NewZeland
IPL,45,45,955,1426,1,46,31.0,8.96,20.76,4/28,4/28,1,0,0,Lockie Ferguson,NewZeland
Test,45,21,483,254,9,3,84.67,3.16,161.0,2/27,2/27,0,0,0,Aiden Markram,South Africa
ODI,77,37,1085,1017,2,20,50.85,5.62,54.25,2/18,2/18,0,0,0,Aiden Markram,South Africa
T20,57,30,342,487,2,13,37.46,8.54,26.31,3/21,3/21,0,0,0,Aiden Markram,South Africa
IPL,45,14,121,172,0,2,86.0,8.53,60.5,1/8,1/8,0,0,0,Aiden Markram,South Africa
Test,4,8,250,147,9,11,13.36,3.53,22.73,3/13,5/25,0,0,0,Andile Phehlukwayo,South Africa
ODI,85,79,3175,3040,17,97,31.34,5.74,32.73,4/22,4/22,3,0,0,Andile Phehlukwayo,South Africa
T20,42,39,748,1112,0,50,22.24,8.92,14.96,4/24,4/24,1,0,0,Andile Phehlukwayo,South Africa
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Andile Phehlukwayo,South Africa
Test,1,2,231,175,5,6,29.17,4.55,38.5,5/64,6/175,0,1,0,Beuran Hendricks,South Africa
ODI,10,8,386,346,2,10,34.6,5.38,38.6,3/59,3/59,0,0,0,Beuran Hendricks,South Africa
T20,19,19,409,627,0,25,25.08,9.2,16.36,4/14,4/14,1,0,0,Beuran Hendricks,South Africa
IPL,7,7,150,235,0,9,26.11,9.4,16.67,3/36,3/36,0,0,0,Beuran Hendricks,South Africa
Test,4,8,623,459,15,12,38.25,4.42,51.92,3/38,5/45,0,0,0,Chris Morris,South Africa
ODI,42,40,1894,1756,10,48,36.58,5.56,39.46,4/31,4/31,2,0,0,Chris Morris,South Africa
T20,23,23,498,697,3,34,20.5,8.4,14.65,4/27,4/27,1,0,0,Chris Morris,South Africa
IPL,81,81,1720,2295,1,95,24.16,8.01,18.11,4/23,4/23,4,0,0,Chris Morris,South Africa
Test,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,David Miller,South Africa
ODI,178,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,David Miller,South Africa
T20,130,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,David Miller,South Africa
IPL,131,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,David Miller,South Africa
Test,3,6,480,252,22,7,36.0,3.15,68.57,2/26,3/82,0,0,0,Dwaine Pretorius,South Africa
ODI,27,26,1144,947,9,35,27.06,4.97,32.69,4/36,4/36,1,0,0,Dwaine Pretorius,South Africa
T20,30,27,504,696,0,35,19.89,8.29,14.4,5/17,5/17,0,1,0,Dwaine Pretorius,South Africa
IPL,7,7,150,238,0,6,39.67,9.52,25.0,2/30,2/30,0,0,0,Dwaine Pretorius,South Africa
Test,69,5,78,69,0,0,0.0,5.31,0.0,0/1,0/1,0,0,0,Faf du Plessis ,South Africa
ODI,143,11,192,189,0,2,94.5,5.91,96.0,1/8,1/8,0,0,0,Faf du Plessis ,South Africa
T20,50,2,8,3,0,0,0.0,2.25,0.0,0/0,0/0,0,0,0,Faf du Plessis ,South Africa
IPL,146,1,6,16,0,0,0.0,16.0,0.0,0/16,0/16,0,0,0,Faf du Plessis ,South Africa
Test,20,37,3925,2294,86,57,40.25,3.51,68.86,5/32,8/130,1,2,0,Imran Tahir,South Africa
ODI,107,104,5541,4297,38,173,24.84,4.65,32.03,7/45,7/45,7,3,0,Imran Tahir,South Africa
T20,38,38,845,948,0,63,15.05,6.73,13.41,5/23,5/23,2,2,0,Imran Tahir,South Africa
IPL,59,59,1316,1703,1,82,20.77,7.76,16.05,4/12,4/12,3,0,0,Imran Tahir,South Africa
Test,46,57,2703,1601,48,42,38.12,3.55,64.36,4/47,4/51,2,0,0,Jean-Paul Duminy,South Africa
ODI,199,135,3513,3143,9,69,45.55,5.37,50.91,4/16,4/16,1,0,0,Jean-Paul Duminy,South Africa
T20,81,41,463,599,0,21,28.52,7.76,22.05,3/18,3/18,0,0,0,Jean-Paul Duminy,South Africa
IPL,83,49,678,834,0,23,36.26,7.38,29.48,4/17,4/17,1,0,0,Jean-Paul Duminy,South Africa
Test,70,128,12898,7196,427,327,22.01,3.35,39.44,7/112,13/144,14,16,4,Kagiso Rabada,South Africa
