Format,Matches,Innings,Balls,Runs,Maidens,Wickets,Avg,Eco,SR,BBI,BBM,4w,5w,10w,player_name,Country
T20,67,17,291,378,1,17,22.24,7.79,17.12,3/20,3/20,0,0,0,Steven Smith,Australia
IPL,103,1,2,5,0,0,0.0,0.0,0.0,0/5,0/5,0,0,0,Steven Smith,Australia
Test,35,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Tim Paine,Australia
ODI,35,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Tim Paine,Australia
T20,12,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Tim Paine,Australia
IPL,2,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Tim Paine,Australia
Test,56,37,855,515,11,15,34.33,3.61,57.0,4/10,4/10,1,0,0,Travis Head,Australia
ODI,73,40,1125,1067,0,24,44.46,5.69,46.88,4/28,4/28,1,0,0,Travis Head,Australia
T20,38,4,36,56,0,1,56.0,9.33,36.0,1/16,1/16,0,0,0,Travis Head,Australia
IPL,26,6,58,113,0,2,56.5,11.69,29.0,2/30,2/30,0,0,0,Travis Head,Australia
Test,1,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Will Pucovski,Australia
ODI,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Will Pucovski,Australia
T20,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Will Pucovski,Australia
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Will Pucovski,Australia
Test,27,49,5018,2864,118,83,34.51,3.42,60.46,May-63,7/134,3,2,0,wahab-riaz,Pakistan
ODI,91,90,4327,4117,20,120,34.31,5.71,36.06,May-46,May-46,5,1,0,wahab-riaz,Pakistan
T20,36,35,710,971,2,34,28.56,8.21,20.88,Mar-18,Mar-18,0,0,0,wahab-riaz,Pakistan
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,wahab-riaz,Pakistan
Test,31,53,6162,3235,206,116,27.89,3.15,53.12,Jun-51,Oct-94,12,4,1,shaheen-afridi,Pakistan
ODI,64,63,3288,3095,28,127,24.37,5.65,25.89,Jun-35,Jun-35,7,3,0,shaheen-afridi,Pakistan
T20,79,79,1714,2257,3,102,22.13,7.9,16.8,Apr-22,Apr-22,2,0,0,shaheen-afridi,Pakistan
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,shaheen-afridi,Pakistan
Test,24,46,4295,2185,164,80,27.31,3.05,53.69,May-27,10/114,2,6,1,hasan-ali,Pakistan
ODI,66,64,3188,3084,16,100,30.84,5.8,31.88,May-34,May-34,2,4,0,hasan-ali,Pakistan
T20,51,50,1033,1456,5,60,24.27,8.46,17.22,Apr-18,Apr-18,1,0,0,hasan-ali,Pakistan
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,hasan-ali,Pakistan
Test,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,mohammad-hasnain,Pakistan
ODI,15,15,718,755,6,17,44.41,6.31,42.24,May-26,May-26,0,1,0,mohammad-hasnain,Pakistan
T20,28,27,618,877,0,25,35.08,8.51,24.72,Mar-37,Mar-37,0,0,0,mohammad-hasnain,Pakistan
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,mohammad-hasnain,Pakistan
Test,36,67,7619,3627,291,119,30.48,2.86,64.03,Jun-44,Jul-64,6,4,0,mohammad-amir,Pakistan
ODI,61,60,3013,2400,34,81,29.63,4.78,37.2,May-30,May-30,1,1,0,mohammad-amir,Pakistan
T20,62,61,1321,1558,6,71,21.94,7.08,18.61,Apr-13,Apr-13,1,0,0,mohammad-amir,Pakistan
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,mohammad-amir,Pakistan
Test,2,2,276,196,4,2,98.0,4.26,138.0,1/72,1/72,0,0,0,Sheldon Cottrell,West Indies
ODI,38,36,1722,1685,11,52,32.4,5.87,33.12,5/46,5/46,2,1,0,Sheldon Cottrell,West Indies
T20,45,44,918,1244,4,52,23.92,8.13,17.65,4/28,4/28,1,0,0,Sheldon Cottrell,West Indies
IPL,6,6,120,176,1,6,29.33,8.8,20.0,2/17,2/17,0,0,0,Sheldon Cottrell,West Indies
Test,59,104,9379,5348,267,166,32.22,3.42,56.5,8/62,13/121,5,6,1,Shannon Gabriel,West Indies
ODI,25,25,1148,1134,6,33,34.36,5.93,34.79,3/17,3/17,0,0,0,Shannon Gabriel,West Indies
T20,2,2,42,56,0,3,18.67,8.0,14.0,3/44,3/44,0,0,0,Shannon Gabriel,West Indies
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Shannon Gabriel,West Indies
Test,85,154,14944,7729,539,284,27.21,3.1,52.62,6/48,10/146,14,11,1,Kemar Roach,West Indies
ODI,95,93,4579,3887,53,125,31.1,5.09,36.63,6/27,6/27,3,3,0,Kemar Roach,West Indies
T20,11,11,234,284,1,10,28.4,7.28,23.4,2/25,2/25,0,0,0,Kemar Roach,West Indies
IPL,2,2,48,80,0,0,0.0,10.0,0.0,0/32,0/32,0,0,0,Kemar Roach,West Indies
Test,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Ashley Nurse,West Indies
ODI,54,49,2384,2125,6,49,43.37,5.35,48.65,4/51,4/51,2,0,0,Ashley Nurse,West Indies
T20,13,13,240,317,0,8,39.63,7.93,30.0,2/6,2/6,0,0,0,Ashley Nurse,West Indies
IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Ashley Nurse,West Indies
Test,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,Oshane Thomas,West Indies
ODI,25,24,920,1034,1,31,33.35,6.74,29.68,5/21,5/21,1,1,0,Oshane Thomas,West Indies
T20,21,20,408,638,1,21,30.38,9.38,19.43,5/28,5/28,0,1,0,Oshane Thomas,West Indies
IPL,4,4,60,79,0,5,15.8,7.9,12.0,2/6,2/6,0,0,0,Oshane Thomas,West Indies
